Product,Sector,Category 1,Category 2,Material 1,Material 2,Weight,CarbonFootprint
226,5,5,7,0,2,0.7485,2.0
227,5,5,7,0,2,0.7485,2.0
460,2,6,6,8,3,20.68,72.54
441,3,4,6,6,0,110.0,1488.0
441,3,4,6,6,0,110.0,1818.0
441,3,4,6,6,0,110.0,2274.0
299,1,2,7,7,3,1500.0,10000.0
508,4,3,1,3,1,1000.0,1102.0
523,6,0,8,7,3,0.7665,15.0
20,6,0,8,7,3,0.997,15.0
20,6,0,8,7,3,0.997,16.0
17,6,0,8,7,3,0.997,16.0
572,6,0,8,7,3,0.68,8.6
572,6,0,8,7,3,0.88,8.6
573,6,0,8,7,3,0.68,7.7
573,6,0,8,7,3,0.88,7.7
18,6,0,8,7,3,0.997,15.0
19,6,0,8,7,3,0.997,16.0
574,6,0,8,7,3,0.68,16.0
522,6,0,8,7,3,0.7665,16.0
521,6,0,8,7,3,0.7665,16.0
520,6,0,8,7,3,0.7665,15.0
520,6,0,8,7,3,0.7665,16.0
344,3,4,6,6,0,16.03449,1616.172
345,3,4,6,6,0,15.898413,1523.19
119,3,4,6,6,0,31.365912,2358.38
346,3,4,6,6,0,16.03449,1524.56
347,3,4,6,6,0,16.66952,1617.69
348,3,4,6,6,0,18.37049,1978.08
349,3,4,6,6,0,17.576704,1957.73
350,3,4,6,6,0,27.4877,2106.94
351,3,4,6,6,0,27.44234,2005.36
352,3,4,6,6,0,27.44234,2387.57
353,3,4,6,6,0,27.75985,2744.39
354,3,4,6,6,0,27.44234,2747.47
356,3,4,6,6,0,22.45282,1140.41
120,3,4,6,6,0,31.365912,3236.35
357,3,4,6,6,0,23.019813,1498.6
358,3,4,6,6,0,25.4012,1678.97
359,3,4,6,6,0,28.03201,2132.34
360,3,4,6,6,0,57.1526,2923.11
361,3,4,6,6,0,57.1526,3127.248
362,3,4,6,6,0,118.07009,2536.12
363,3,4,6,6,0,118.07009,2973.37
364,3,4,6,6,0,118.07009,3335.99
121,3,4,6,6,0,32.6587,3128.864
116,3,4,6,6,0,20.32094,1968.62
117,3,4,6,6,0,20.50238,3143.478
118,3,4,6,6,0,20.91061,3024.602
340,3,4,6,6,0,23.700201,2597.12
342,3,4,6,6,0,15.807694,1504.51
343,3,4,6,6,0,15.807694,1490.36
426,1,2,7,4,4,1000.0,5846.0
426,1,2,7,4,4,1000.0,10245.0
316,1,2,7,4,4,1000.0,3197.1
63,1,2,7,4,4,1000.0,3113.0
63,1,2,7,4,4,1000.0,6309.0
64,1,2,7,4,4,1000.0,4286.0
23,1,2,7,4,4,1000.0,876.0
24,1,2,7,4,4,1000.0,396.0
79,1,2,7,4,4,1000.0,1088.0
273,1,2,7,4,4,1000.0,10607.0
317,6,0,8,4,4,0.1471,7.0
